,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
0,2020 Maruti Swift Dzire,2019,Petrol,"11,935 Kms",1197 cc,1st Owner,Manual,21.21 kmpl,81.80bhp,113Nm,5,Grey,5 Speed,FWD,Power,Disc,Drum,12.6 Seconds,K Series VVT Engine,"6,80,000"
1,2016 Nissan Terrano,2016,Diesel,"74,555 Kms",1461 cc,2nd Owner,Manual,20.45 kmpl,83.8bhp,200Nm,5,Black,5 Speed,FWD,Power,Disc,Drum,14 Seconds,K9K Diesel Engine,"4,70,500"
2,2020 Maruti Swift Dzire,2019,Petrol,"9,379 Kms",1197 cc,1st Owner,Manual,21.21 kmpl,81.80bhp,113Nm,5,White,5 Speed,FWD,Power,Disc,Drum,12.6 Seconds,K Series VVT Engine,"6,75,000"
3,2018 Maruti Swift,2018,Diesel,"31,824 Kms",1248 cc,1st Owner,Manual,28.4 kmpl,74bhp,190Nm,5,Red,5,FWD,Power,Disc,Drum,,DDiS 190 Engine,"6,00,000"
4,2017 Maruti Baleno,2017,Petrol,"49,072 Kms",1197 cc,1st Owner,Manual,21.01 kmpl,81.80bhp,113Nm,5,Blue,5 Speed,FWD,Electric,Disc,Drum,12.36 seconds,1.2L VVT Engine,"6,10,000"
5,2020 Maruti Wagon R,2020,Petrol,"10,412 Kms",998 cc,1st Owner,Manual,21.79 kmpl,67.05bhp,90Nm,5,White,5 Speed,FWD,Power,Disc,Drum,18.6 Seconds,K10B Petrol Engine,"5,06,500"
6,2017 Maruti Baleno,2017,Petrol,"34,706 Kms",1197 cc,1st Owner,Manual,21.01 kmpl,81.80bhp,113Nm,5,Grey,5 Speed,FWD,Electric,Disc,Drum,12.36 seconds,1.2L VVT Engine,"5,20,000"
7,2013 Maruti Swift Dzire,2012,Diesel,"80,131 Kms",1248 cc,1st Owner,Manual,23.4 kmpl,74bhp,190Nm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,,DDiS Diesel Engine,"3,35,000"
8,2013 Toyota Innova,2013,Diesel,"94,795 Kms",2494 cc,2nd Owner,Manual,12.99 kmpl,100bhp,200Nm,8,Silver,5 Speed,FWD,Power,Ventilated Disc,Leading-Trailing Drum,,In-Line Engine,"6,70,500"
9,2016 Maruti Swift,2016,Petrol,"45,203 Kms",1197 cc,2nd Owner,Manual,20.4 kmpl,81.80bhp,113Nm,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,12.6 Seconds,K Series VVT Engine,"4,60,000"
10,2018 Honda City,2018,Petrol,"89,144 Kms",1497 cc,1st Owner,Manual,17.4 kmpl,117.6bhp,145Nm,5,Other,5 Speed,FWD,Power,Ventilated Disc,Drum,9.64 Seconds,i VTEC Engine,"7,63,500"
11,2015 Maruti Swift Dzire,2015,Diesel,"54,457 Kms",1248 cc,1st Owner,Manual,26.59 kmpl,74bhp,190Nm,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,13.8 Seconds,DDiS Diesel Engine,"4,85,000"
12,2014 Maruti Wagon R,2014,Petrol,"42,431 Kms",998 cc,1st Owner,Manual,21.79 kmpl,67.05bhp,90Nm,5,White,5 Speed,FWD,Power,Disc,Drum,18.6 Seconds,K10B Petrol Engine,"3,25,000"
