,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
0,2017 Hyundai Xcent,2017,Petrol,"32,540 Kms",1197 cc,1st Owner,Manual,19.1 kmpl,82bhp,114Nm,5,Other,5 Speed,FWD,Power,Disc,Drum,14.2 Seconds,Kappa VTVT Petrol Engine,"5,97,000"
1,2016 Hyundai i20,2015,Petrol,"41,061 Kms",1197 cc,1st Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,5,Red,5 Speed,FWD,Power,Disc,Drum,13.2 Seconds,Kappa VTVT Petrol Engine,"5,70,000"
2,2019 Honda Amaze,2018,Petrol,"40,674 Kms",1198 cc,1st Owner,Manual,17.8 kmpl,86.7bhp,109Nm,5,White,5 Speed,FWD,Power,Disc,Drum,15 Seconds,i-VTEC Petrol Engine,"6,00,000"
3,2011 Toyota Etios,2011,Petrol,"67,142 Kms",1496 cc,1st Owner,Manual,17.6 kmpl,15,5,5,Other,,,Power,,,,-,"3,49,500"
4,2018 Hyundai i20,2018,Petrol,"19,274 Kms",1197 cc,1st Owner,Manual,21 kmpl,81.86bhp,114.74nm,5,White,5 Speed,,Electric,Disc,Drum,,1.2 l Kappa petrol,"7,80,000"
5,2016 Ford Ecosport,2016,Petrol,"46,012 Kms",1497 cc,3rd Owner,Manual,17 kmpl,121.36bhp,150Nm,5,Blue,5 Speed,FWD,Power,Ventilated Disc,Drum,,Ti-VCT Petrol Engine,"5,54,000"
6,2012 Hyundai i20,2012,Diesel,"100,609 Kms",1396 cc,1st Owner,Manual,21.27 kmpl,88.76bhp,219.6Nm,5,Silver,6 Speed,FWD,Power,Disc,Disc,,U2 CRDI Diesel Engine,"4,15,000"
7,2013 Hyundai EON,2013,Petrol,"16,420 Kms",814 cc,2nd Owner,Manual,21.1 kmpl,55.2bhp,74.5Nm,5,Grey,5 Speed,FWD,Power,Disc,Drum,19 Seconds,Petrol Engine,"2,70,000"
8,2017 Renault KWID,2017,Petrol,"25,148 Kms",999 cc,1st Owner,Manual,23.01 kmpl,67bhp,91Nm,5,Grey,5 Speed,FWD,Power,Disc,Drum,,Petrol Engine,"3,75,000"
9,2014 Ford Ecosport,2014,Diesel,"62,234 Kms",1498 cc,2nd Owner,Manual,21.7 kmpl,99.23bhp,215nm,5,Grey,5 Speed,FWD,Electric,Ventilated Disc,Drum,,1.5 L Diesel Engine,"6,00,000"
10,2013 Hyundai i20,2011,Petrol,"38,898 Kms",1197 cc,2nd Owner,Manual,17 kmpl,80 PS at 5200 rpm,"11.4 kgm at 4,000 rpm",5,Other,5 Speed,,Power,Disk,Drum,,In-Line Engine,"4,20,000"
11,2011 Hyundai i20,2011,Petrol,"42,354 Kms",1197 cc,1st Owner,Manual,17 kmpl,80 PS at 5200 rpm,"11.4 kgm at 4,000 rpm",5,Silver,5 Speed,,Power,Disk,Drum,,In-Line Engine,"4,25,000"
12,2015 Hyundai Xcent,2015,Petrol,"42,673 Kms",1197 cc,2nd Owner,Manual,19.1 kmpl,82bhp,114Nm,5,Red,5 Speed,FWD,Power,Disc,Drum,14.2 Seconds,Kappa VTVT Petrol Engine,"4,60,000"
13,2013 Hyundai i10,2013,Petrol,"35,572 Kms",1086 cc,2nd Owner,KA53,Comprehensive,1086 CC,68.05bhp,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,14.3 Seconds,IRDE2 Engine,"3,35,000"
14,Maruti Swift VXI Optional,2016,Petrol,"25,540 kms",1197 CC,First Owner,Manual,20.4 kmpl,81.80 bhp,113Nm@ 4200rpm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,12.6 Seconds,K Series VVT Engine,5.5 Lakh*
15,Volkswagen Polo 1.2 MPI Highline,2014,Petrol,"98,480 kms",1198 CC,First Owner,Manual,16.47 kmpl,74 bhp,110Nm@ 3750rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,14.2 Seconds,MPI Petrol Engine,4.5 Lakh*
16,Volkswagen Vento 1.0 TSI Highline,2020,Petrol,"2,155 kms",999 CC,Test Drive Car,Manual,17.69 kmpl,108.62 bhp,175Nm@ 1750-4000rpm,5,White,6 Speed,FWD,Electronic,Disc,Drum,12.3 Seconds,TSI Petrol Engine,11.25 Lakh*
17,BMW 6 Series GT 630i M Sport,2019,Petrol,"18,000 kms",1998 CC,First Owner,Automatic,13.32 kmpl,254.79 bhp,400Nm@ 1550-4400rpm,4,Blue,8 Speed Steptronic,FWD,Power,Disc,Disc,6.5 Seconds,TwinPower Turbo inline 4-cylinder engine,59 Lakh*
18,Ford Endeavour 3.2 Titanium AT 4X4,2017,Diesel,"45,000 kms",3198 CC,First Owner,Automatic,10.91 kmpl,197 bhp,470Nm@ 1750-2500rpm,7,White,6 Speed,4WD,Power,Disc,Disc,10.86 Seconds,Diesel Engine,28.45 Lakh*
19,Hyundai i20 Asta 1.2,2014,Petrol,"40,000 kms",1197 CC,First Owner,Manual,18.6 kmpl,81.83 bhp,114.7Nm@ 4000rpm,5,-,5 Speed,FWD,Power,Disc,Drum,13.2 Seconds,Kappa VTVT Petrol Engine,6.25 Lakh*
20,2010 Maruti Alto,2010,Petrol,"19,983 Kms",796 cc,1st Owner,Manual,19.7 kmpl,46.3bhp,62Nm,5,Other,5 Speed,FWD,Power,Disc,Drum,17.7 seconds,In-Line Engine,"2,25,000"
21,2014 Maruti Alto K10,2014,Petrol,"130,895 Kms",998 cc,2nd Owner,Automatic,23.95 kmpl,67.05bhp,90Nm,5,Other,5 Speed,FWD,Power,Ventilated Disc,Drum,13.3 Seconds,K Series Petrol Engine,"3,05,000"
22,2020 Maruti S-Presso,2020,Petrol,"6,762 Kms",998 cc,1st Owner,Manual,21.7 kmpl,67.05bhp,90nm,5,Other,5-Speed,FWD,Power,Ventilated Disc,Drum,,K10B Petrol Engine,"4,75,000"
23,2011 Maruti Wagon R,2011,Petrol,"67,449 Kms",998 cc,1st Owner,Manual,18.9 kmpl,67.1bhp,90Nm,5,Other,5 Speed,FWD,Power,Ventilated Disc,Drum,,K Series Petrol Engine,"3,43,500"
24,2017 Maruti Alto K10,2017,Petrol,"15,004 Kms",998 cc,1st Owner,Manual,23.95 kmpl,67.05bhp,90Nm,5,Other,5 Speed,FWD,Power,Ventilated Disc,Drum,13.3 Seconds,K Series Petrol Engine,"3,50,500"
25,2016 Maruti Wagon R,2016,Petrol,"11,520 Kms",998 cc,1st Owner,Automatic,21.79 kmpl,67.05bhp,90Nm,5,Grey,5 Speed,FWD,Power,Disc,Drum,18.6 Seconds,K10B Petrol Engine,"4,80,000"
26,2014 Hyundai Grand i10,2014,Petrol,"46,709 Kms",1197 cc,2nd Owner,Manual,18.9 kmpl,82bhp,114Nm,5,Other,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,"4,30,000"
27,2016 Volkswagen Polo,2016,Petrol,"81,080 Kms",1197 cc,1st Owner,Automatic,1197 CC,175nm,16,5,Other,7 Speed,FWD,Power,Disc,Drum,,TSI Petrol Engine,"6,65,000"
28,2016 Hyundai i20,2016,Petrol,"102,555 Kms",1197 cc,1st Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,5,Other,5 Speed,FWD,Power,Disc,Drum,13.2 Seconds,Kappa VTVT Petrol Engine,"5,75,000"
29,2016 Renault KWID,2016,Petrol,"22,402 Kms",799 cc,1st Owner,Manual,25.17 kmpl,53.3bhp,72Nm,5,White,5 Speed,FWD,Power,Disc,Drum,16 Seconds,Petrol Engine,"3,45,000"
30,2014 Maruti Wagon R,2014,Petrol,"34,989 Kms",998 cc,1st Owner,Manual,21.79 kmpl,67.05bhp,90Nm,5,Red,5 Speed,FWD,Power,Disc,Drum,18.6 Seconds,K10B Petrol Engine,"3,70,000"
31,2013 Honda Brio,2013,Petrol,"70,007 Kms",1198 cc,1st Owner,Manual,19.4 kmpl,86.8bhp,109Nm,5,Other,5 Speed,FWD,Power,Disc,Drum,,i-VTEC Engine,"3,80,000"
