,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Price
0,Maruti Swift LDI BSIV,2014,Diesel,100821,1248,First ,Manual,25.2,74.0,190.0,5,White,5,FWD,Power,Ventilated Disc,Drum,14.8,304000
1,Ford Figo Diesel ZXI,2012,Diesel,102456,1399,Second ,Manual,20.0,68.0,160.0,5,Grey,5,FWD,Power,Ventilated Disc,Drum,14.8,110000
2,Maruti S-Cross 2017-2020 Alpha,2017,Diesel,86698,1248,First ,Manual,25.1,88.5,200.0,5,Silver,5,FWD,Power,Discs,Discs,13.42,660000
3,Hyundai i20 Active 1.4,2015,Diesel,60603,1396,First ,Manual,21.19,88.73,220.0,5,White,6,FWD,Power,Discs,Drum,15.0,490000
4,Hyundai i20 1.4 CRDi,2012,Diesel,145814,1396,First ,Manual,23.0,90.0,22.4,5,White,6,FWD,Power,Discs,Drum,12.96,236000
5,Maruti Swift Dzire ZDi,2012,Diesel,195642,1248,Second ,Manual,19.3,73.9,190.0,5,White,5,2WD,Power,Ventilated Disc,Drum,19.0,250000
6,Maruti Swift Dzire VXI,2019,Petrol,9718,1197,First ,Manual,21.21,81.8,113.0,5,White,5,FWD,Power,Discs,Drum,12.6,645000
7,Maruti Wagon R VXI,2016,Petrol,81674,998,First ,Manual,21.79,67.05,90.0,5,White,5,FWD,Power,Discs,Drum,18.6,345000
8,Honda Brio S MT,2016,Petrol,42000,1198,First ,Manual,19.4,86.8,109.0,5,Grey,5,FWD,Power,Discs,Drum,14.5,400000
9,Hyundai Creta 1.6 CRDi,2018,Diesel,72000,1582,First ,Automatic,17.01,126.2,259.9,5,Silver,6,FWD,Power,Discs,Drum,10.5,1325000
10,BMW X1 sDrive 20d,2016,Diesel,60000,1995,Second ,Automatic,20.68,188.0,400.0,5,Blue,8,FWD,Power,Discs,Discs,7.8,2101000
11,Tata Indica Vista Quadrajet,2013,Diesel,120000,1248,Second ,Manual,22.3,74.0,190.0,5,White,5,FWD,Power,Discs,Drum,19.0,150000
12,Maruti Alto K10 VXI,2014,Petrol,65100,998,First ,Manual,23.95,67.05,90.0,5,White,5,FWD,Power,Ventilated Disc,Drum,13.3,265000
13,Hyundai i20 Sportz 1.2,2013,Petrol,65514,1197,First ,Manual,18.5,82.85,113.7,5,White,5,FWD,Power,Discs,Drum,19.0,500000
14,Honda City 1.5 V,2010,Petrol,71901,1497,Second ,Manual,17.0,118.0,146.0,5,White,5,FWD,Power,Discs,Drum,19.0,500000
