,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
0,Hyundai i20 2015-2017 Magna 1.2,2015,Petrol,"38,000 kms",1197 CC,First Owner,Manual,18.6 kmpl,81.83 bhp,114.7Nm@ 4000rpm,5,White,5 Speed,FWD,Power,Disc,Drum,13.2 Seconds,Kappa VTVT Petrol Engine,5.9 Lakh*
1,Maruti Eeco 7 Seater Standard BSIV,2020,Petrol,"15,000 kms",1196 CC,First Owner,Manual,15.37 kmpl,73 bhp,101Nm@ 3000rpm,7,White,5 Speed,RWD,Manual,Ventilated Disc,Drum,15.7 Seconds,In-Line Engine,4.65 Lakh*
2,Honda Jazz 1.2 S i VTEC,2017,Petrol,"27,001 kms",1199 CC,First Owner,Manual,18.7 kmpl,88.7 bhp,110Nm@ 4800rpm,5,TITANIUM,5 Speed,FWD,Power,Disc,Drum,13.7 Seconds,i-VTEC Petrol Engine,6.25 Lakh*
3,Toyota Innova Crysta 2016-2020 2.4 VX MT,2019,Diesel,"21,50,000 kms",2393 CC,First Owner,Manual,13.68 kmpl,147.51 bhp,343Nm@ 1400-2800rpm,7,White,5 Speed,RWD,Power,Disc,Drum,-,2-GD FTV Engine,21.5 Lakh*
4,Maruti Celerio VXI,2014,Petrol,"33,000 kms",998 CC,First Owner,Manual,23.1 kmpl,67.04 bhp,90Nm@ 3500rpm,5,Blue,5 Speed,FWD,Power,Ventilated Disc,Drum,15.05 Seconds,K10B Engine,4.25 Lakh*
5,Hyundai EON D Lite,2016,Petrol,"32,000 kms",814 CC,Second Owner,Manual,21.1 kmpl,55.2 bhp,74.5Nm@ 4000rpm,5,Silver,5 Speed,FWD,Manual,Disc,Drum,19 Seconds,Petrol Engine,3.1 Lakh*
6,Hyundai i20 Active 1.2 SX,2016,Petrol,"42,000 kms",1197 CC,First Owner,Manual,17.19 kmpl,81.86 bhp,114.73Nm@ 4000rpm,5,Brown,5 Speed,FWD,Power,Disc,Drum,14 Seconds,VTVT Petrol Engine,6.55 Lakh*
7,Renault KWID RXT Optional,2017,Petrol,"57,001 kms",799 CC,First Owner,Manual,25.17 kmpl,53.3 bhp,72Nm@ 4386rpm,5,White,5 Speed,FWD,Power,Disc,Drum,16 Seconds,Petrol Engine,3.75 Lakh*
8,Maruti Celerio VXI,2014,Petrol,"38,001 kms",998 CC,First Owner,Manual,23.1 kmpl,67.04 bhp,90Nm@ 3500rpm,5,Red,5 Speed,FWD,Power,Ventilated Disc,Drum,15.05 Seconds,K10B Engine,4.15 Lakh*
9,Volkswagen Vento Diesel Trendline,2011,Diesel,"90,152 kms",1598 CC,First Owner,Manual,20.54 kmpl,103.6 bhp,250Nm@ 1500-2500rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,-,Common Rail Diesel Engine,3.25 Lakh*
10,Maruti Swift ZXI ABS,2008,Petrol,"47,001 kms",1298 CC,First Owner,Manual,16.1 kmpl,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5,Silver,5 Speed,-,Power,Ventilated Disc,Drum,12.29 seconds,In-Line Engine,3.7 Lakh*
11,Volkswagen Vento 1.5 TDI Highline,2013,Diesel,"90,534 kms",1498 CC,First Owner,Manual,22.27 kmpl,108.6 bhp,250Nm@ 1500-3000rpm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,11.07 Seconds,TDI Diesel Engine,4 Lakh*
12,Maruti Baleno Alpha Automatic,2018,Petrol,"32,186 kms",1197 CC,First Owner,Automatic,21.4 kmpl,83.1 bhp,115Nm@ 4000rpm,5,Silver,CVT,FWD,Power,Disc,Drum,12.36 seconds,VVT Petrol Engine,7 Lakh*
13,Toyota Fortuner 3.0 Diesel,2011,Diesel,"2,12,054 kms",2982 CC,First Owner,Manual,11.5 kmpl,171 bhp,343Nm@ 1400-3400rpm,7,Grey,5 Speed,4WD,Power,Ventilated Disc,Leading-Trailing Drum,9.6 Seconds,4 Cylinders In-line,13 Lakh*
14,Honda Brio S MT,2012,Petrol,"24,000 kms",1198 CC,First Owner,Manual,19.4 kmpl,86.8 bhp,109Nm@ 4500rpm,5,Brown,5 Speed,FWD,Power,Disc,Drum,-,i-VTEC Engine,3.4 Lakh*
15,Honda Amaze 2016-2021 S Option CVT i-VTEC,2017,Petrol,"25,000 kms",1199 CC,First Owner,Automatic,18.1 kmpl,88.7 bhp,110Nm@ 4800rpm,5,Maroon,CVT,FWD,Power,Disc,Drum,15 Seconds,i-VTEC Petrol Engine,6.75 Lakh*
16,Volvo S 80 D3 Summum,2012,Diesel,"1,21,555 kms",1985 CC,Second Owner,Automatic,16.0 kmpl,163 bhp,400Nm@ 1500-2750rpm,5,White,6 Speed,FWD,Power,Ventilated Disc,Ventilated Disc,9.7 Seconds,Five-cylinder turbo charg,11 Lakh*
17,Maruti Celerio VXI,2014,Petrol,"38,001 kms",998 CC,First Owner,Manual,23.1 kmpl,67.04 bhp,90Nm@ 3500rpm,5,Red,5 Speed,FWD,Power,Ventilated Disc,Drum,15.05 Seconds,K10B Engine,4.15 Lakh*
18,Volkswagen Vento Diesel Trendline,2011,Diesel,"90,152 kms",1598 CC,First Owner,Manual,20.54 kmpl,103.6 bhp,250Nm@ 1500-2500rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,-,Common Rail Diesel Engine,3.25 Lakh*
19,Honda City V MT,2012,Petrol,"58,900 kms",1497 CC,First Owner,Manual,16.8 kmpl,116.3 bhp,146Nm@ 4800rpm,5,Golden,5 Speed,FWD,Power,Disc,Drum,-,SOHC i-VTEC,4.35 Lakh*
20,Maruti Swift ZXI ABS,2008,Petrol,"47,001 kms",1298 CC,First Owner,Manual,16.1 kmpl,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5,Silver,5 Speed,-,Power,Ventilated Disc,Drum,12.29 seconds,In-Line Engine,3.7 Lakh*
21,Volkswagen Vento 1.5 TDI Highline,2013,Diesel,"90,534 kms",1498 CC,First Owner,Manual,22.27 kmpl,108.6 bhp,250Nm@ 1500-3000rpm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,11.07 Seconds,TDI Diesel Engine,4 Lakh*
22,Maruti Baleno Alpha Automatic,2018,Petrol,"32,186 kms",1197 CC,First Owner,Automatic,21.4 kmpl,83.1 bhp,115Nm@ 4000rpm,5,Silver,CVT,FWD,Power,Disc,Drum,12.36 seconds,VVT Petrol Engine,7 Lakh*
23,Toyota Fortuner 3.0 Diesel,2011,Diesel,"2,12,054 kms",2982 CC,First Owner,Manual,11.5 kmpl,171 bhp,343Nm@ 1400-3400rpm,7,Grey,5 Speed,4WD,Power,Ventilated Disc,Leading-Trailing Drum,9.6 Seconds,4 Cylinders In-line,13 Lakh*
24,Honda Brio S MT,2012,Petrol,"24,000 kms",1198 CC,First Owner,Manual,19.4 kmpl,86.8 bhp,109Nm@ 4500rpm,5,Brown,5 Speed,FWD,Power,Disc,Drum,-,i-VTEC Engine,3.4 Lakh*
25,Honda Amaze 2016-2021 S Option CVT i-VTEC,2017,Petrol,"25,000 kms",1199 CC,First Owner,Automatic,18.1 kmpl,88.7 bhp,110Nm@ 4800rpm,5,Maroon,CVT,FWD,Power,Disc,Drum,15 Seconds,i-VTEC Petrol Engine,6.75 Lakh*
26,Volvo S 80 D3 Summum,2012,Diesel,"1,21,555 kms",1985 CC,Second Owner,Automatic,16.0 kmpl,163 bhp,400Nm@ 1500-2750rpm,5,White,6 Speed,FWD,Power,Ventilated Disc,Ventilated Disc,9.7 Seconds,Five-cylinder turbo charg,11 Lakh*
27,Hyundai Xcent 1.1 CRDi SX,2014,Diesel,"67,001 kms",1120 CC,Second Owner,Manual,24.4 kmpl,71 bhp,180.4Nm@ 1750-2500rpm,5,Blue,5 Speed,FWD,Power,Disc,Drum,18.6 Seconds,U2 CRDI Diesel Engine,4.45 Lakh*
28,Honda City V MT Exclusive,2012,Petrol,"75,000 kms",1497 CC,First Owner,Manual,16.8 kmpl,116.3 bhp,146Nm@ 4800rpm,5,Brown,5 Speed,FWD,Power,Disc,Drum,-,SOHC i-VTEC,4.6 Lakh*
29,Honda City i DTec V,2014,Diesel,"86,000 kms",1498 CC,First Owner,Manual,26.0 kmpl,98.6 bhp,200Nm@ 1750rpm,5,Brown,6 Speed,FWD,Power,Disc,Drum,10 Seconds,i DTEC Diesel Engine,6.4 Lakh*
30,Hyundai i20 Active S Petrol,2018,Petrol,"42,000 kms",1197 CC,Second Owner,Manual,17.19 kmpl,81.86 bhp,114.73Nm@ 4000rpm,5,Red,5 Speed,FWD,Power,Disc,Drum,-,VTVT Petrol Engine,6.3 Lakh*
31,Tata Indica Vista Aura 1.3 Quadrajet,2010,Diesel,"1,04,000 kms",1248 CC,First Owner,Manual,18.0 kmpl,75 bhp,190 Nm at 1750 rpm,5,Red,5 Speed,2 WD,Power,Ventilated Disc,Drum,-,In-Line Engine,2.35 Lakh*
32,Maruti Alto K10 2010-2014 VXI,2013,Petrol,"32,500 kms",998 CC,First Owner,Manual,20.92 kmpl,67.1 bhp,90Nm@ 3500rpm,5,Sunlight copper,5 Speed,FWD,Power,Ventilated Disc,Drum,13.3 Seconds,K Series Petrol Engine,3.5 Lakh*
33,Honda Amaze VX i-Vtech,2013,Petrol,"1,02,784 kms",1198 CC,First Owner,Manual,18.0 kmpl,86.7 bhp,109Nm@ 4500rpm,5,Grey,5 Speed,FWD,Power,Disc,Drum,15 Seconds,i-VTEC Petrol Engine,3.9 Lakh*
34,Maruti Baleno Sigma 1.2,2016,Petrol,"41,383 kms",1197 CC,First Owner,Manual,21.4 kmpl,83.1 bhp,115Nm@ 4000rpm,5,Orange,5 Speed,FWD,Power,Disc,Drum,12.36 seconds,VVT Petrol Engine,5.25 Lakh*
35,Volkswagen Polo GT TSI,2015,Petrol,"55,000 kms",1197 CC,First Owner,Automatic,17.21 kmpl,103.6 bhp,175Nm@ 1500-4100rpm,5,Red,7 Speed,FWD,Power,Disc,Drum,9.7 Seconds,TSI Petrol Engine,6.5 Lakh*
36,Mahindra Scorpio LX,2004,Diesel,"72,000 kms",2179 CC,Second Owner,Manual,12.05 kmpl,120 bhp,290Nm@ 1800-2800rpm,9,Red,5 Speed,FWD,Power,Disc,Drum,-,mHawk CRDe Engine,2.5 Lakh*
37,Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2019,Petrol,"40,000 kms",1197 CC,First Owner,Manual,18.9 kmpl,81.86 bhp,113.75nm@ 4000rpm,5,White,5 Speed,FWD,Power,Disc,Drum,13.21 Seconds,Kappa VTVT Petrol Engine,5.75 Lakh*
38,Honda WR-V i-VTEC VX,2018,Petrol,"34,143 kms",1199 CC,First Owner,Manual,17.5 kmpl,88.7 bhp,110Nm@ 4800rpm,5,Red,5 Speed,FWD,Electric,Ventilated Disc,Drum,15.31 Seconds,i-VTEC Petrol Engine,8.25 Lakh*
39,Volkswagen Polo GT TDI,2013,Diesel,"1,48,011 kms",1598 CC,Second Owner,Manual,19.7 kmpl,103.6 bhp,250Nm@ 1500-2500rpm,5,White,5 Speed,FWD,Power,Disc,Drum,-,TDI Diesel Engine,3.85 Lakh*
40,Maruti Celerio ZXI AT,2016,Petrol,"39,812 kms",998 CC,Second Owner,Automatic,23.1 kmpl,67.04 bhp,90Nm@ 3500rpm,5,Blue,5 Speed,FWD,Power,Ventilated Disc,Drum,15.05 Seconds,K10B Engine,4.25 Lakh*
41,Nissan Terrano XL 110 PS,2015,Diesel,"1,15,000 kms",1461 CC,First Owner,Manual,19.01 kmpl,108.5 bhp,248Nm@ 2250rpm,5,White,6 Speed,FWD,Power,Disc,Drum,13 Seconds,K9K Diesel Engine,5.75 Lakh*
42,Honda Jazz 1.2 SV i VTEC,2015,Petrol,"42,000 kms",1199 CC,First Owner,Manual,18.7 kmpl,88.7 bhp,110Nm@ 4800rpm,5,Brown,5 Speed,FWD,Power,Disc,Drum,13.7 Seconds,i-VTEC Petrol Engine,5.6 Lakh*
43,Hyundai i20 1.4 Asta,2017,Diesel,"45,001 kms",1396 CC,First Owner,Manual,22.54 kmpl,88.73 bhp,219.7Nm@ 1500-2750rpm,5,Grey,6 Speed,FWD,Power,Disc,Drum,11.9 Seconds,U2 CRDI Diesel Engine,7.4 Lakh*
44,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,2019,Diesel,"59,000 kms",2755 CC,First Owner,Automatic,11.36 kmpl,171.5 bhp,360Nm@ 1200-3400rpm,7,White,6 Speed,RWD,Power,Disc,Drum,-,1-GD FTV Engine,23.65 Lakh*
45,Hyundai Creta 1.6 SX Option,2019,Petrol,"21,000 kms",1591 CC,Second Owner,Manual,15.8 kmpl,121.3 bhp,151Nm@ 4850rpm,5,Grey,6 Speed,FWD,Power,Disc,Drum,-,VTVT Petrol Engine,12.5 Lakh*
46,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,Diesel,"1,30,000 kms",2494 CC,Second Owner,Manual,12.99 kmpl,100.6 bhp,200Nm@ 1400-3400rpm,7,Grey,5 Speed,RWD,Power,Ventilated Disc,Leading-Trailing Drum,13.3 Seconds,2KD-FTV Diesel Engine,10.9 Lakh*
47,Maruti Swift Dzire VDi,2013,Diesel,"57,433 kms",1248 CC,Second Owner,Manual,19.3 kmpl,73.9 bhp,190Nm@ 2000rpm,5,Red,5 Speed,2 WD,Power,Ventilated Disc,Drum,-,In-Line Engine,4.1 Lakh*
48,Maruti Swift LDI Optional,2018,Diesel,"38,000 kms",1248 CC,First Owner,Manual,25.2 kmpl,74 bhp,190Nm@ 2000rpm,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,14.8 Seconds,DDiS Diesel Engine,6.49 Lakh*
49,Maruti Vitara Brezza ZDi,2016,Diesel,"60,901 kms",1248 CC,First Owner,Manual,24.3 kmpl,88.5 bhp,200Nm@ 1750rpm,5,Yellow,5 Speed,FWD,Power,Ventilated Disc,Drum,12.36 Seconds,DDiS 200 Diesel Engine,8.9 Lakh*
