,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
0,2015 Maruti Swift,2015,Petrol,"37,421 Kms",1197 cc,1st Owner,Manual,22 kmpl,81.80bhp,113Nm,5,Other,5,,Power,Disc,Drum,,VTVT Engine,"4,30,000"
1,2019 Hyundai Santro,2018,Petrol,"1,117 Kms",1086 cc,1st Owner,Manual,20.3 kmpl,68bhp,99Nm,5,White,5 Speed,FWD,Power,Disc,Drum,,1.1 litre Petrol Engine,"4,62,500"
2,2018 Maruti Ignis,2017,Petrol,"39,535 Kms",1197 cc,1st Owner,Manual,20.89 kmpl,81.80bhp,113Nm,5,Blue,5 Speed,FWD,Electrical,Disc,Drum,,1.2-Litre VVT Petrol Engine,"5,49,000"
3,2015 Maruti Ciaz,2014,Diesel,"77,891 Kms",1248 cc,1st Owner,Manual,26.21 kmpl,88.5bhp,200Nm,5,Grey,5 Speed,FWD,Power,Ventilated Discs,Drum,15 Seconds,DDIS 200 Engine,"4,40,000"
4,2013 Hyundai Elantra,2013,Diesel,"124,239 Kms",1582 cc,1st Owner,Automatic,19.5 kmpl,126.24bhp,259.87Nm,5,White,6 Speed,FWD,Power,Disc,Disc,10.2 Seconds,VGT Diesel Engine,"5,30,000"
5,2017 Maruti SX4 S Cross,2017,Diesel,"96,780 Kms",1248 cc,1st Owner,Manual,25.1 kmpl,88.5bhp,200Nm,5,Grey,5 Speed,FWD,Power,Disc,Disc,13.42 Seconds,DDiS 200 Diesel Engine,"5,35,900"
6,2011 Maruti Swift,2011,Petrol,"105,621 Kms",1197 cc,1st Owner,Manual,18.6 kmpl,85.8bhp,114Nm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,12.29 Seconds,K Series Petrol Engine,"2,65,000"
7,2014 Honda City,2014,Diesel,"104,585 Kms",1498 cc,2nd Owner,Manual,26 kmpl,98.6bhp,200Nm,5,Other,6 Speed,FWD,Power,Disc,Drum,10 Seconds,i DTEC Diesel Engine,"4,25,000"
8,2011 Maruti Zen Estilo,2011,Petrol,"17,612 Kms",998 cc,1st Owner,Manual,19 kmpl,67.1bhp,90Nm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,16.26 Seconds,K Series Petrol Engine,"2,45,500"
9,2013 Toyota Etios Liva,2013,Diesel,"108,523 Kms",1364 cc,1st Owner,Manual,23.59 kmpl,67.06bhp,170Nm,5,Red,5 Speed,FWD,Power,Ventilated DIsc,Drum,,D-4D Diesel Engine,"3,05,000"
10,2018 Maruti Ignis,2018,Petrol,"39,414 Kms",1197 cc,1st Owner,Manual,20.89 kmpl,81.80bhp,113Nm,5,Grey,5 Speed,FWD,Electrical,Disc,Drum,,1.2-Litre VVT Petrol Engine,"4,30,000"
11,2014 Maruti Swift,2014,Diesel,"117,726 Kms",1248 cc,1st Owner,Manual,22.9 kmpl,74bhp,190Nm,5,Red,5 Speed,FWD,Power,Ventilated Disc,Drum,13.75 Seconds,DDiS Diesel Engine,"3,40,000"
12,2013 Ford Ecosport,2013,Diesel,"71,054 Kms",1498 cc,1st Owner,Manual,22.7 kmpl,89.84bhp,204Nm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,13.5 Seconds,TDCi Diesel Engine,"4,35,000"
13,2018 Maruti Ignis,2018,Petrol,"80,257 Kms",1197 cc,1st Owner,Manual,20.89 kmpl,81.80bhp,113Nm,5,White,5 Speed,FWD,Electrical,Disc,Drum,,1.2-Litre VVT Petrol Engine,"4,85,000"
