,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
0,2019 Hyundai Grand i10,2019,Petrol,"75,940 Kms",1197 cc,1st Owner,TS08,Comprehensive,1197 CC,81.86bhp,5,Other,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,"5,70,000"
1,2015 Hyundai Grand i10,2015,Petrol,"81,935 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,82bhp,114Nm,5,Other,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,"4,55,000"
2,2019 Hyundai Grand i10,2018,Petrol,"33,583 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,81.86bhp,113.75nm,5,Other,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,"5,50,000"
3,2017 Hyundai Grand i10,2016,Petrol,"65,166 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,82bhp,114Nm,5,White,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,"4,80,000"
4,2017 Hyundai Grand i10,2016,Petrol,"36,234 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,81.86bhp,113.75nm,5,Other,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,"4,95,000"
5,2015 Maruti Swift,2015,Petrol,"57,951 Kms",1197 cc,1st Owner,Manual,21.21 kmpl,81.80bhp,113Nm,5,Other,5,FWD,Electric,Disc,Drum,12.71s,VTVT Engine,"5,37,500"
6,2017 Maruti Alto 800,2016,Petrol,"46,517 Kms",796 cc,1st Owner,Manual,22.74 kmpl,47.3bhp,69Nm,5,Other,5 Speed,FWD,Power,Solid Disc,Drum,19 Seconds,F8D Petrol Engine,"3,10,000"
7,2018 Hyundai Grand i10,2018,Petrol,"13,732 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,81.86bhp,113.75nm,5,Other,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,"5,00,000"
8,2015 Hyundai i20,2015,Petrol,"67,652 Kms",1197 cc,1st Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,5,Other,5 Speed,FWD,Power,Disc,Drum,13.2 Seconds,Kappa VTVT Petrol Engine,"5,40,000"
9,2017 Hyundai i20,2017,Petrol,"29,092 Kms",1197 cc,1st Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,5,Other,5 Speed,FWD,Power,Disc,Drum,13.2 Seconds,Kappa VTVT Petrol Engine,"6,35,000"
10,2018 Hyundai i20,2018,Diesel,"114,761 Kms",1396 cc,1st Owner,Manual,22.54 kmpl,88.73bhp,219.7Nm,5,Grey,6 Speed,FWD,Power,Disc,Drum,11.9 Seconds,U2 CRDI Diesel Engine,"7,14,000"
11,2016 Maruti Swift,2016,Diesel,"58,308 Kms",1248 cc,1st Owner,Manual,25.2 kmpl,74bhp,190Nm,5,Other,5 Speed,FWD,Power,Ventilated Disc,Drum,14.8 Seconds,DDiS Diesel Engine,"6,50,000"
12,2017 Maruti Swift,2016,Diesel,"55,374 Kms",1248 cc,1st Owner,Manual,25.2 kmpl,74bhp,190Nm,5,Red,5 Speed,FWD,Power,Ventilated Disc,Drum,14.8 Seconds,DDiS Diesel Engine,"6,04,500"
13,2015 Hyundai Grand i10,2015,Petrol,"43,336 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,82bhp,114Nm,5,Other,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,"4,55,000"
14,Toyota Innova 2.5 V Diesel 7-seater,2006,Diesel,"1,90,417 kms",2494 CC,First Owner,Manual,12.8 kmpl,102 bhp,20.4@ 1400-3400(kgm@ rpm),7,Silver,5 Speed,-,Power,Ventilated Disc,Drum,17.5 seconds,In-Line Engine,5.6 Lakh*
15,Hyundai Xcent 1.1 CRDi S Option,2014,Diesel,"69,380 kms",1120 CC,First Owner,Manual,24.4 kmpl,71.01 bhp,180.4Nm@ 1750-2500rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,18.6 Seconds,U2 CRDI Diesel Engine,5.4 Lakh*
16,Hyundai Grand i10 1.2 CRDi Sportz Option,2017,Diesel,"30,946 kms",1186 CC,First Owner,Manual,24.0 kmpl,73.97 bhp,190.24nm@ 1750-2250rpm,5,Red,5 Speed,FWD,Power,Disc,Drum,13.21 Seconds,U2 CRDi Diesel Engine,6.16 Lakh*
17,Ford Figo Diesel Titanium,2014,Diesel,"46,508 kms",1399 CC,First Owner,Manual,20.0 kmpl,68.05 bhp,160Nm@ 2000rpm,5,Red,5 Speed,FWD,Power,Ventilated Discs,Drum,-,Duratorq Diesel Engine,4.89 Lakh*
18,Maruti Celerio 2017-2021 VXI,2017,Petrol,"50,000 kms",998 CC,First Owner,Manual,21.63 kmpl,67.05 bhp,90Nm@ 3500rpm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,15.05 Seconds,K10B Engine,5.3 Lakh*
19,2018 Maruti Alto 800,2018,Petrol,"16,328 Kms",796 cc,1st Owner,Manual,24.7 kmpl,47.3bhp,69Nm,5,Red,5 Speed,FWD,Power,Solid Disc,Drum,19 Seconds,F8D Petrol Engine,"3,30,000"
