,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
0,2018 Honda City,2018,Petrol,"25,998 Kms",1497 cc,2nd Owner,Automatic,18 kmpl,117.6bhp,145Nm,5,Brown,CVT,FWD,Power,Ventilated Disc,Drum,11.90 Seconds,i VTEC Engine,"10,33,000"
1,2017 Hyundai Grand i10,2017,Diesel,"59,298 Kms",1120 cc,1st Owner,Manual,24 kmpl,70bhp,160Nm,5,Silver,5 Speed,FWD,Power,Disc,Drum,15.6 Seconds,U2 CRDi Diesel Engine,"6,44,400"
2,2018 Hyundai Grand i10,2018,Petrol,"90,474 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,81.86bhp,113.75nm,5,Other,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,"4,80,000"
3,2015 Hyundai Grand i10,2015,Diesel,"135,263 Kms",1120 cc,1st Owner,Manual,24 kmpl,70bhp,160Nm,5,White,5 Speed,FWD,Power,Disc,Drum,15.6 Seconds,U2 CRDi Diesel Engine,"4,08,000"
4,2014 Hyundai i10,2014,Petrol,"38,693 Kms",1086 cc,1st Owner,Manual,19.81 kmpl,68.05bhp,99.04Nm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,14.3 Seconds,IRDE2 Engine,"3,55,000"
5,2016 Ford Figo,2016,Diesel,"63,774 Kms",1498 cc,2nd Owner,Manual,25.83 kmpl,99bhp,215Nm,5,Blue,5 Speed,FWD,EPAS,Ventilated Disc,Drum,11.6 Seconds,TDCi Diesel Engine,"3,35,400"
6,2016 Hyundai Grand i10,2016,Petrol,"40,158 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,81.86bhp,113.75nm,5,White,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,"5,25,700"
7,2019 Hyundai Grand i10,2019,Petrol,"18,804 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,81.86bhp,113.75nm,5,White,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,"5,32,000"
8,2018 Maruti Alto K10,2018,Petrol,"27,058 Kms",998 cc,1st Owner,Manual,23.95 kmpl,67.05bhp,90Nm,5,Other,5 Speed,FWD,Power,Ventilated Disc,Drum,13.3 Seconds,K Series Petrol Engine,"3,60,000"
9,2018 Maruti Alto 800,2018,Petrol,"13,699 Kms",796 cc,1st Owner,Manual,24.7 kmpl,47.3bhp,69Nm,5,White,5 Speed,FWD,Power,Solid Disc,Drum,19 Seconds,F8D Petrol Engine,"3,30,000"
10,2015 Hyundai Grand i10,2015,Diesel,"103,466 Kms",1186 cc,1st Owner,Manual,24 kmpl,73.97bhp,190.24nm,5,White,5 Speed,FWD,Power,Disc,Drum,13.21 Seconds,U2 CRDi Diesel Engine,"4,20,100"
11,2017 Hyundai Grand i10,2016,Petrol,"55,471 Kms",1197 cc,2nd Owner,Manual,18.9 kmpl,82bhp,114Nm,5,White,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,"4,52,300"
12,2019 Hyundai Santro,2019,Petrol,"13,385 Kms",1086 cc,1st Owner,Manual,20.3 kmpl,68bhp,99Nm,5,Other,5 Speed,FWD,Power,Disc,Drum,,1.1 litre Petrol Engine,"4,20,000"
13,2017 Maruti Alto 800,2017,Petrol,"12,811 Kms",796 cc,1st Owner,Manual,22.05 kmpl,47.33bhp,69Nm,5,Other,5 Speed,FWD,Power,Disc,Drum,,F8D Petrol Engine,"3,10,000"
14,2018 Maruti Ignis,2018,Petrol,"63,191 Kms",1197 cc,2nd Owner,Manual,20.89 kmpl,81.80bhp,113Nm,5,Other,5 Speed,FWD,Electrical,Disc,Drum,,1.2-Litre VVT Petrol Engine,"4,50,000"
15,2016 Hyundai Grand i10,2016,Diesel,"96,566 Kms",1186 cc,1st Owner,Manual,24 kmpl,73.97bhp,190.24nm,5,White,5 Speed,FWD,Power,Disc,Drum,13.21 Seconds,U2 CRDi Diesel Engine,"4,28,000"
16,2018 Renault KWID,2018,Petrol,"49,444 Kms",799 cc,1st Owner,Manual,25.17 kmpl,53.3bhp,72Nm,5,Silver,5 Speed,FWD,Power,Disc,Drum,16 Seconds,Petrol Engine,"3,04,000"
17,2018 Hyundai i20,2018,Petrol,"23,458 Kms",1197 cc,1st Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,5,Other,5 Speed,FWD,Power,Disc,Drum,13.2 Seconds,Kappa VTVT Petrol Engine,"7,74,700"
18,2017 Maruti Alto 800,2017,Petrol,"11,763 Kms",796 cc,1st Owner,Manual,24.7 kmpl,47.3bhp,69Nm,5,White,5 Speed,FWD,Power,Solid Disc,Drum,19 Seconds,F8D Petrol Engine,"3,10,000"
19,2011 Volkswagen Vento,2011,Diesel,"92,132 Kms",1598 cc,1st Owner,Manual,20.54 kmpl,103.6bhp,250Nm,5,Black,5 Speed,FWD,Power,Disc,Drum,,Common Rail Diesel Engine,"3,66,800"
20,2017 Hyundai i20,2017,Petrol,"20,230 Kms",1197 cc,1st Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,5,White,5 Speed,FWD,Power,Disc,Drum,13.2 Seconds,Kappa VTVT Petrol Engine,"6,15,800"
21,2020 Honda City,2020,Petrol,"36,320 Kms",1498 cc,1st Owner,Automatic,18.4 kmpl,119.35bhp,145nm,5,White,7 Speed,FWD,Electric,Ventilated Disc,Drum,,1.5L i-VTEC DOHC with VTC Petrol Engine,"12,30,000"
22,2016 Maruti Alto 800,2016,Petrol,"68,409 Kms",796 cc,1st Owner,Manual,22.74 kmpl,47.3bhp,69Nm,5,White,5 Speed,FWD,Power,Solid Disc,Drum,19 Seconds,F8D Petrol Engine,"2,60,000"
23,2020 Toyota Glanza,2019,Petrol,"29,725 Kms",1197 cc,1st Owner,Manual,21.01 kmpl,81.80bhp,113Nm,5,Other,5-Speed,FWD,Electric,Disc,Drum,,Petrol Engine,"6,91,000"
24,2017 Renault KWID,2016,Petrol,"28,413 Kms",799 cc,1st Owner,Manual,22.3 kmpl,53.26bhp,72Nm,5,Silver,5 Speed,FWD,Electric,Disc,Drum,16 Seconds,Petrol Engine,"3,12,100"
25,2017 Maruti Alto K10,2016,Petrol,"38,567 Kms",998 cc,1st Owner,RJ23,Comprehensive,998 CC,67.05bhp,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,13.3 Seconds,K Series Petrol Engine,"3,46,500"
26,2017 Hyundai i20,2017,Petrol,"13,526 Kms",1197 cc,2nd Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,5,White,5 Speed,FWD,Power,Disc,Drum,13.2 Seconds,Kappa VTVT Petrol Engine,"5,95,000"
27,2019 Maruti Baleno,2018,Petrol,"36,032 Kms",1197 cc,1st Owner,Manual,21.4 kmpl,83.1bhp,115Nm,5,Other,5 Speed,FWD,Power,Disc,Drum,12.36 seconds,VVT Petrol Engine,"6,15,700"
28,2015 Hyundai Grand i10,2015,Petrol,"41,882 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,81.86bhp,113.75nm,5,Silver,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,"4,13,250"
29,2018 Maruti Alto 800,2018,Petrol,"48,396 Kms",796 cc,1st Owner,Manual,22.05 kmpl,47.33bhp,69Nm,5,White,5 Speed,FWD,Power,Disc,Drum,,F8D Petrol Engine,"3,15,000"
