,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
0,Hyundai i20 2015-2017 Sportz 1.4 CRDi,2013,Diesel,"39,000 kms",1396 CC,First Owner,Manual,22.54 kmpl,88.73 bhp,219.7Nm@ 1500-2750rpm,5,Blue,6 Speed,FWD,Power,Disc,Drum,11.9 Seconds,U2 CRDI Diesel Engine,3.31 Lakh*
1,Volkswagen Polo 1.5 TDI Trendline,2016,Diesel,"67,001 kms",1498 CC,First Owner,Manual,20.14 kmpl,88 bhp,230Nm@ 1500-2500rpm,5,Red,5 Speed,FWD,Power,Disc,Drum,16.1 Seconds,TDI Diesel Engine,3.51 Lakh*
2,Maruti Ertiga VXI Petrol,2018,Petrol,"35,000 kms",1462 CC,First Owner,Manual,19.34 kmpl,103 bhp,138Nm@ 4400rpm,7,metallic grey,5 Speed,2WD,Power,Ventilated Disc,Drum,-,K15 Smart Hybrid,6.79 Lakh*
3,Mercedes-Benz E-Class E250 CDI Avantgarde,2016,Diesel,"21,830 kms",2143 CC,First Owner,Automatic,14.21 kmpl,203 bhp,500Nm@ 1600-1800rpm,5,Black,5 Speed,Rear Wheel Drive with ESP,Power,Ventilated Disc,Ventilated Disc,7.5 Seconds,4-in-line,24.98 Lakh*
4,Honda City i-DTEC VX,2018,Diesel,"71,600 kms",1498 CC,First Owner,Manual,25.6 kmpl,97.9 bhp,200Nm@ 1750rpm,5,Black,6 Speed,FWD,Power,Vantilated Disc,Drum,10 Seconds,i DTEC Diesel Engine,8.42 Lakh*
5,Hyundai i20 1.2 Spotz,2018,Petrol,"29,500 kms",1197 CC,First Owner,Manual,18.6 kmpl,81.83 bhp,114.7Nm@ 4000rpm,5,Orange,5 Speed,FWD,Power,Disc,Drum,13.2 Seconds,Kappa VTVT Petrol Engine,5.85 Lakh*
6,Hyundai Getz 1.1 GVS,2008,Petrol,"61,300 kms",1086 CC,First Owner,Manual,15.0 kmpl,66.6 bhp,"10.4@ 3,200(kgm@ rpm)",5,Silver,5 Speed,-,Power,Ventilated Disc,Drum,17.8 seconds,In-Line Engine,1.05 Lakh*
7,Hyundai Creta 1.6 SX Option,2018,Petrol,"24,975 kms",1591 CC,First Owner,Manual,15.8 kmpl,121.3 bhp,151Nm@ 4850rpm,5,Black,6 Speed,FWD,Power,Disc,Drum,-,VTVT Petrol Engine,9.85 Lakh*
8,Maruti Wagon R AMT VXI,2017,Petrol,"24,000 kms",998 CC,First Owner,Automatic,20.51 kmpl,67 bhp,90Nm@ 3500rpm,5,Brown,5 Speed,FWD,Power,Ventilated Disc,Drum,18.6 Seconds,K10B Petrol Engine,3.89 Lakh*
9,Honda City i VTEC CVT VX,2014,Petrol,"55,000 kms",1497 CC,First Owner,Automatic,18.0 kmpl,117.3 bhp,145Nm@ 4600rpm,5,Maroon,5 Speed CVT,FWD,Power,Disc,Drum,10 Seconds,i VTEC Engine,5.79 Lakh*
10,Mahindra Xylo H4,2014,Diesel,"38,000 kms",2179 CC,First Owner,Manual,14.02 kmpl,118.3 bhp,280Nm@ 2400-2800rpm,7,Maroon,5 Speed,RWD,Power,Disc,Drum,14 Seconds,mHawk Diesel Engine,4.3 Lakh*
11,Maruti Wagon R VXI,2018,Petrol,280 kms,998 CC,First Owner,Manual,18.9 kmpl,67.1 bhp,90Nm@ 3500rpm,5,Maroon,5 Speed,FWD,Power,Ventilated Disc,Drum,-,K Series Petrol Engine,3.7 Lakh*
12,BMW X1 sDrive 20d M Sport,2017,Diesel,"53,002 kms",1995 CC,First Owner,Automatic,17.05 kmpl,184 bhp,380Nm@ 1750-2750rpm,5,Blue,8-Speed,RWD,Power,Disc,Disc,7.7 Seconds,sDrive20d Diesel Engine,22.99 Lakh*
