,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
0,2019 Maruti Vitara Brezza,2018,Diesel,"34,470 Kms",1248 cc,1st Owner,Automatic,24.3 kmpl,88.5bhp,200Nm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,12.36 Seconds,DDiS 200 Diesel Engine,"9,30,000"
1,2019 Maruti Vitara Brezza,2018,Diesel,"27,133 Kms",1248 cc,1st Owner,Automatic,24.3 kmpl,88.5bhp,200Nm,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,12.36 Seconds,DDiS 200 Diesel Engine,"9,10,000"
2,2017 Maruti Celerio,2017,Petrol,"75,447 Kms",998 cc,1st Owner,MH12,Comprehensive,998 CC,67.04bhp,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,15.05 Seconds,K10B Engine,"4,50,000"
3,2017 Maruti Swift Dzire,2017,Diesel,"34,110 Kms",1248 cc,1st Owner,Manual,28.4 kmpl,74.02bhp,190Nm,5,Other,5 Speed,FWD,Power,Disc,Drum,13.03 Seconds,DDiS Diesel Engine,"7,30,000"
4,2016 Hyundai Grand i10,2015,Petrol,"27,123 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,82bhp,114Nm,5,Red,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,"4,60,000"
5,2016 Maruti Celerio,2016,Petrol,"27,607 Kms",998 cc,1st Owner,Automatic,21.63 kmpl,67.05bhp,90Nm,5,Other,5 Speed,FWD,Power,Ventilated Disc,Drum,15.05 Seconds,K10B Engine,"4,25,000"
6,2013 Maruti Ritz,2013,Diesel,"70,082 Kms",1248 cc,1st Owner,Manual,23.2 kmpl,73.94bhp,190Nm,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,14 Seconds,DDiS Diesel Engine,"3,55,000"
7,2013 Honda Brio,2013,Petrol,"46,367 Kms",1198 cc,1st Owner,Automatic,16.5 kmpl,86.8bhp,109Nm,5,Red,5 Speed,FWD,Power,Disc,Drum,16 Seconds,i-VTEC Engine,"3,80,000"
8,2016 Hyundai Grand i10,2015,Petrol,"62,282 Kms",1197 cc,2nd Owner,Automatic,18.9 kmpl,82bhp,114Nm,5,Silver,4 Speed,FWD,Power,Disc,Drum,14.9 Seconds,Kappa VTVT Petrol Engine,"4,30,000"
9,2019 Maruti Ignis,2018,Petrol,"73,634 Kms",1197 cc,1st Owner,Manual,20.89 kmpl,81.80bhp,113Nm,5,Red,5 Speed,FWD,Electrical,Disc,Drum,,1.2-Litre VVT Petrol Engine,"5,03,000"
